model,scenario,role,accuracy,log_loss,base_train_rows,blend_train_rows,test_rows
optimized_weighted_blend_calibrated,optimized blend plus temperature calibration,final,0.6117,0.8606,3429,866,1195
optimized_weighted_blend_raw,optimized blend before calibration,final,0.6117,0.8607,3429,866,1195
strength_elo_logistic,overall team strength,specialist,0.6067,0.8687,3429,866,1195
draw_risk_classifier,draw risk,specialist,0.61,0.8691,3429,866,1195
full_xgboost,full nonlinear 1X2,specialist,0.6117,0.8703,3429,866,1195
poisson_scoreline_model,expected score / scoreline,specialist,0.6017,0.8803,3429,866,1195
recent_form_random_forest,recent form,specialist,0.5849,0.8959,3429,866,1195
context_xgboost,match context,specialist,0.5498,0.9505,3429,866,1195
