match_id,match_date,team_a_raw_name,team_b_raw_name,team_a_id,team_b_id,team_a_is_wc2026,team_b_is_wc2026,tournament,neutral_flag,importance,team_a_pre_elo,team_b_pre_elo,pre_elo_difference,team_a_host_advantage,team_b_host_advantage,team_a_score,team_b_score,target_result,team_a_matches_last_5,team_a_wins_last_5,team_a_points_avg_last_5,team_a_goal_diff_avg_last_5,team_a_matches_last_10,team_a_wins_last_10,team_a_points_avg_last_10,team_a_goals_for_avg_last_10,team_a_goals_against_avg_last_10,team_a_goal_diff_avg_last_10,team_a_avg_opponent_elo_last_10,team_a_days_since_last_match,team_b_matches_last_5,team_b_wins_last_5,team_b_points_avg_last_5,team_b_goal_diff_avg_last_5,team_b_matches_last_10,team_b_wins_last_10,team_b_points_avg_last_10,team_b_goals_for_avg_last_10,team_b_goals_against_avg_last_10,team_b_goal_diff_avg_last_10,team_b_avg_opponent_elo_last_10,team_b_days_since_last_match,wins_last_5_difference,points_avg_last_5_difference,goal_diff_avg_last_5_difference,goals_for_avg_last_10_difference,goals_against_avg_last_10_difference,goal_diff_avg_last_10_difference,avg_opponent_elo_last_10_difference,days_since_last_match_difference,match_date_dt
HIST_000010,2014-01-29,Mexico,South Korea,MEX,KOR,1,1,Friendly,1.0,10.0,1500.0,1508.4657359027997,-8.465735902799679,0.0,0.0,4,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,1.0,1.0,3.0,1.0,1,1,3.0,1.0,0.0,1.0,1500.0,4.0,-1.0,-3.0,-1.0,-1.0,0.0,-1.0,0.0,361.0,2014-01-29
HIST_000011,2014-01-31,Oman,Jordan,Oman,JOR,0,1,AFC Asian Cup qualification,0.0,40.0,1500.0,1515.0695258187268,-15.069525818726788,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,3.0,2.0,2.0,0.0,3,2,2.0,1.0,1.0,0.0,1506.1125602091006,24.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,-6.112560209100593,341.0,2014-01-31
HIST_000012,2014-02-01,United States,South Korea,USA,KOR,1,1,Friendly,0.0,10.0,1500.0,1495.1006968993331,4.899303100666657,1.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,2.0,1.0,1.5,-1.5,2,1,1.5,0.5,2.0,-1.5,1500.0,3.0,-1.0,-1.5,1.5,-0.5,-2.0,1.5,0.0,362.0,2014-02-01
HIST_000013,2014-02-04,Singapore,Jordan,Singapore,JOR,0,1,AFC Asian Cup qualification,0.0,40.0,1500.0,1517.9241299322812,-17.924129932281176,1.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,4.0,2.0,1.75,0.0,4,2,1.75,0.75,0.75,0.0,1504.5844201568254,4.0,-2.0,-1.75,0.0,-0.75,-0.75,0.0,-4.584420156825445,361.0,2014-02-04
HIST_000014,2014-02-21,Iraq,North Korea,IRQ,North Korea,1,0,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-02-21
HIST_000015,2014-03-03,Iran,Kuwait,IRN,Kuwait,1,0,AFC Asian Cup qualification,0.0,40.0,1500.0,1464.730847567099,35.26915243290091,1.0,0.0,3,2,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,2.0,0.0,0.0,-2.0,2,0,0.0,0.5,2.5,-2.0,1500.0,58.0,0.0,0.0,2.0,-0.5,-2.5,2.0,0.0,307.0,2014-03-03
HIST_000016,2014-03-05,Algeria,Slovenia,ALG,Slovenia,1,0,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000017,2014-03-05,Australia,Ecuador,AUS,ECU,1,1,Friendly,1.0,10.0,1500.0,1500.0,0.0,0.0,0.0,3,4,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000018,2014-03-05,Austria,Uruguay,AUT,URU,1,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
HIST_000019,2014-03-05,Belgium,Ivory Coast,BEL,CIV,1,1,Friendly,0.0,10.0,1500.0,1500.0,0.0,1.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1500.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-05
